title,year,venue,url_or_doi,input_N,fixed_or_variable_N,calibrated_light,single_or_multi_view,RGB_or_gray,output_geometry,output_albedo,output_lighting,joint_decomposition,permutation_invariant,training_data,real_benchmark,core_method,closest_similarity_to_ours,critical_difference
Photometric method for determining surface orientation from multiple images (Woodham),1980,Optical Engineering 19(1),https://doi.org/10.1117/12.7972813,>=3,fixed,yes,single,gray,normals only,no,no,no,no,none (analytic),none,classic Lambertian PS via shape-from-shading inversion,classic root of PS field,analytic; requires calibrated directional lights and known albedo ratio
The bas-relief ambiguity (Belhumeur-Kriegman-Yuille),1999,IJCV 35(3),https://doi.org/10.1023/A:1008154927611,>=3,fixed,no (ambiguity up to GBR),single,gray,normals up to GBR,no,no,no,no,none (analytic),none,theory of uncalibrated PS ambiguity,classical uncalibrated-PS footing,theory only; no learned joint decomposition
A benchmark dataset and evaluation for non-Lambertian and uncalibrated photometric stereo (DiLiGenT),2016,CVPR,https://sites.google.com/site/photometricstereodata/single,96,fixed,yes (calibrated dirs provided),single,RGB,normals GT,no,no,no,no,none (dataset),DiLiGenT,benchmark dataset + evaluation protocol,our real-capture zero-shot benchmark,dataset not method; N=96 fixed; no learned model
Deep photometric stereo network (DPSN Santo et al.),2017,ICCV Workshops / TPAMI 2020,https://doi.org/10.1109/TPAMI.2020.2993241,fixed (uncertain),fixed (uncertain),yes,single,RGB,normals only,no,no,no,no (uncertain),synthetic,DiLiGenT,early deep PS with per-image feature aggregation,deep PS with N-input aggregation,calibrated; normals only; no albedo/lighting output
CNN-PS: CNN-based photometric stereo for general non-convex surfaces (Ikehata),2018,ECCV,https://arxiv.org/abs/1808.10093,96 (fixed),fixed,yes,single,RGB,normals only,no,no,no,no,synthetic observation maps,DiLiGenT,per-pixel fixed-size observation map + CNN,deep PS accuracy baseline,rigid fixed-N input; calibrated; normals only
PS-FCN: a flexible learning framework for photometric stereo (Chen-Han-Wong),2018,ECCV,https://arxiv.org/abs/1807.08696,arbitrary (tested 1-32),variable,yes,single,RGB,normals only,no,no,no,yes (max-pool over per-image features),synthetic (100 DiLiGenT-style objects),DiLiGenT,feature extraction per image + order-invariant max-pool fusion + normal prediction,HIGHEST on variable-N aggregation with uncalibrated promise,requires CALIBRATED light directions per image; normals only; no albedo/lighting; gray conversion common
Neural inverse rendering for general reflectance photometric stereo (MIRR Taniai-Maehara),2018,ICML,http://proceedings.mlr.press/v80/taniai18a.html,variable (any N),variable,no (unknown spatially-varying),single,RGB,normals yes,uncertain,per-image illumination map,partial (normal+illumination),uncertain,synthetic,real lab captures (limited),CNN autoencoder: per-image normal-to-illumination consistency + joint normal estimation,HIGH - joint normal+lighting from unknown lights with variable N,RGB synthetic training; no explicit albedo/depth output; small-scale lab evaluation; often cited as Neural Photometric Stereo (arXiv title) but venue is ICML 2018
Neural inverse rendering of an indoor scene from a single image (IRN Sengupta et al.),2019,ICCV,https://arxiv.org/abs/1901.02453,1,fixed (single image),no (environment),single,RGB,normals (depth no),yes,environment map (low-freq),yes (albedo+normal+lighting),no (single input),IIW + Sintel self-supervised,IIW / MIT indoor sequences,self-supervised CNN factorizing single image into albedo+normals+envmap,reference for joint decomposition framing,single-image only; no multi-light evidence accumulation; no quantitative geometry on DiLiGenT-style objects
Self-calibrating deep photometric stereo networks (SDPS-Net Chen et al.),2019,CVPR,https://arxiv.org/abs/1903.07366,arbitrary (variable),variable,no (uncalibrated),single,RGB,normals only,no,per-image light dir+intensity,partial (light+normal),uncertain,synthetic (5.4M images),DiLiGenT,two networks: LCNet light estimation + NENet normal regression,DANGEROUS - uncalibrated variable-N deep PS on DiLiGenT,no albedo/depth output; no joint BRDF factorization; normals-focused eval
SPLINE-Net: sparse photometric stereo via lighting interpolation and normal estimation (Zheng et al.),2019,ICCV,https://arxiv.org/abs/1905.04088,~10 (sparse),variable (sparse sets),yes,single,RGB,normals only,no,no,no,uncertain,synthetic + real,DiLiGenT,lighting interpolation net densifies sparse observations then normal net,HIGH - sparse-light PS evidence accumulation,calibrated lights; normals only; no relighting of held-out lights
